FILENAME,LEYE_CENTER_X,LEYE_CENTER_Y,REYE_CENTER_X,REYE_CENTER_Y
s04_30_RGB_F_0001.jpg,645.8,301.9,520.0,304.9
s04_30_RGB_F_0026.jpg,646.8,301.3,520.8,304.9
s04_30_RGB_F_0051.jpg,646.1,302.3,521.3,305.1
s04_30_RGB_F_0076.jpg,645.8,303.0,520.3,306.1
s04_30_RGB_F_0101.jpg,644.8,304.0,519.1,306.8
s04_30_RGB_F_0126.jpg,643.9,304.2,518.3,307.5
s04_30_RGB_F_0151.jpg,647.1,304.5,521.5,307.0
s04_30_RGB_F_0176.jpg,646.5,304.9,520.6,307.5
s04_30_RGB_F_0201.jpg,647.0,305.4,520.7,307.7
s04_30_RGB_F_0226.jpg,0.0,0.0,0.0,0.0
s04_30_RGB_F_0251.jpg,651.8,306.1,525.6,308.1
s04_30_RGB_F_0276.jpg,649.3,305.7,523.4,308.0
s04_30_RGB_F_0301.jpg,654.2,305.2,529.0,307.7
s04_30_RGB_F_0326.jpg,656.3,305.7,531.5,308.2
s04_30_RGB_F_0351.jpg,657.6,306.3,533.3,307.9
s04_30_RGB_F_0376.jpg,660.3,305.9,536.9,308.2
s04_30_RGB_F_0401.jpg,663.0,306.8,539.1,308.9
s04_30_RGB_F_0426.jpg,659.7,306.5,535.1,308.3
s04_30_RGB_F_0451.jpg,660.5,306.7,536.0,308.4
s04_30_RGB_F_0476.jpg,658.7,306.8,534.3,308.3
s04_30_RGB_F_0501.jpg,657.5,306.1,532.8,308.8
s04_30_RGB_F_0526.jpg,654.6,306.0,530.0,308.8
s04_30_RGB_F_0551.jpg,652.4,306.2,527.4,309.1
s04_30_RGB_F_0576.jpg,652.4,305.6,527.1,309.0
s04_30_RGB_F_0601.jpg,650.6,305.6,526.5,309.1
s04_30_RGB_F_0626.jpg,651.8,305.9,527.6,308.3
s04_30_RGB_F_0651.jpg,652.2,304.8,528.4,307.9
s04_30_RGB_F_0676.jpg,652.0,303.8,527.9,307.2
s04_30_RGB_F_0701.jpg,652.0,302.8,528.0,306.2
s04_30_RGB_F_0726.jpg,652.4,302.1,528.7,304.4
